sku,linked_sku
"VA01","VT08
VSK03
VSW06
VA11-GO-NA"
"VA02","VP10
VSW10
VSW06
VA10"
"VA03","VP02
VA18-GO-NA
VD07
VSW02"
"VA04","VP02
VP03
VSW10
VD04"
"VA05","VA16-GO-NA
VSK12
VA06
VSW11"
"VA06","VP03
VSW07
VT11
VA04"
"VA07","VD09
VSK04
VA17-SI-NA
VD10"
"VA08","VD01
VA09
VA13-GO-NA
VT03"
"VA09","VSK01
VT10
VP03
VT01"
"VA10","VSW07
VSW05
VSW04
VT05"
"VD01","VSW12
VD12
VA09
VD09"
"VD02","VP01
VSK08
VT02
VSK06"
"VD03","VA09
VD03
VSW09
VSW05"
"VD04","VA04
VA07
VT10
VA12-SI-NA"
"VD05","VSW06
VA09
VT09
VD02"
"VD06","VA01
VSW07
VP03
VD09"
"VD07","VA11-GO-NA
VP07
VD04
VSW10"
"VD08","VSW06
VA13-GO-NA
VA09
VP02"
"VD09","VSW05
VSW05
VSK07
VP10"
"VD10","VT05
VT05
VT03
VA19-GO-NA"
"VD11","VT09
VP08
VSK12
VA06"
"VD12","VSK04
VP06
VA11-GO-NA
VA01"
"VP01","VA02
VA21-GO-NA
VSW06
VSW04"
"VP02","VD01
VP04
VT11
VA15-SI-NA"
"VP03","VT11
VA05
VP12
VT02"
"VP04","VD05
VSW11
VSK04
VA17-SI-NA"
"VP05","VSW04
VA18-GO-NA
VA04
VP11"
"VP06","VA18-GO-NA
VP11
VT09
VSK06"
"VP07","VA09
VD03
VSW12
VD05"
"VP08","VSW06
VP12
VSK11
VSK12"
"VP09","VSK02
VT01
VT12
VSW09"
"VP10","VD07
VT09
VT08
VP02"
"VP11","VA13-GO-NA
VP09
VP01
VP10"
"VP12","VSW07
VA16-GO-NA
VA21-GO-NA
VP08"
"VSK01","VP05
VA14-SI-NA
VA06
VSW01"
"VSK02","VA06
VSW05
VP01
VA16-GO-NA"
"VSK03","VP09
VP06
VA01
VA16-GO-NA"
"VSK04","VT12
VP07
VSK02
VP06"
"VSK05","VA20-SI-NA
VA03
VP04
VT11"
"VSK06","VSK04
VSK08
VA12-SI-NA
VP07"
"VSK07","VD03
VP09
VSW08
VD09"
"VSK08","VP12
VA02
VSK03
VT09"
"VSK09","VD06
VA05
VA12-SI-NA
VA16-GO-NA"
"VSK10","VA05
VSW05
VT04
VA02"
"VSK11","VD05
VD05
VP06
VD04"
"VSK12","VSK04
VT09
VA01
VA19-GO-NA"
"VSW01","VSK11
VD03
VD12
VT11"
"VSW02","VA05
VP01
VSW11
VA12-SI-NA"
"VSW03","VD01
VP10
VA10
VT05"
"VSW04","VD04
VA05
VSW11
VP11"
"VSW05","VP04
VA21-GO-NA
VSW07
VA22-SI-NA"
"VSW06","VD03
VP11
VT11
VA21-GO-NA"
"VSW07","VA13-GO-NA
VT03
VA05
VSW12"
"VSW08","VA17-SI-NA
VA18-GO-NA
VSK04
VA17-SI-NA"
"VSW09","VT07
VA21-GO-NA
VD02
VD04"
"VSW10","VD01
VA09
VT01
VSW08"
"VSW11","VSK11
VSW12
VSW04
VP08"
"VSW12","VSK03
VA15-SI-NA
VD09
VA22-SI-NA"
"VT01","VSK03
VP11
VSK11
VA02"
"VT02","VSW02
VP10
VA13-GO-NA
VA17-SI-NA"
"VT03","VT12
VSW09
VSK10
VT12"
"VT04","VSW02
VSW03
VD10
VA14-SI-NA"
"VT05","VT08
VP12
VT07
VA04"
"VT06","VD05
VA01
VSW07
VP09"
"VT07","VP04
VSW03
VP07
VP12"
"VT08","VSW04
VSK04
VP08
VP09"
"VT09","VP07
VT09
VSW06
VSK09"
"VT10","VT05
VSW11
VSW10
VD08"
"VT11","VP10
VD07
VA22-SI-NA
VA10"
"VT12","VD05
VT08
VP10
VA12-SI-NA"
