sku,linked_sku
"VA01","VSK10
VA16-GO-NA
VD04
VD07"
"VA02","VA01
VA18-GO-NA
VSW01
VA12-SI-NA"
"VA03","VT01
VT11
VA13-GO-NA
VSK03"
"VA04","VA19-GO-NA
VT06
VD01
VSW10"
"VA05","VSK03
VSK12
VP10
VA19-GO-NA"
"VA06","VA07
VT06
VA01
VD02"
"VA07","VD06
VP03
VSW10
VSK08"
"VA08","VD05
VA04
VA04
VA13-GO-NA"
"VA09","VA05
VSK02
VT05
VA19-GO-NA"
"VA10","VA05
VSK03
VSK04
VD04"
"VD01","VD09
VP07
VSK01
VA15-SI-NA"
"VD02","VT07
VP06
VA02
VP09"
"VD03","VP05
VSW04
VA19-GO-NA
VSW10"
"VD04","VSW08
VP10
VT11
VD05"
"VD05","VA07
VT07
VSK06
VT09"
"VD06","VA04
VA06
VA12-SI-NA
VSK06"
"VD07","VSW07
VA21-GO-NA
VSW10
VA21-GO-NA"
"VD08","VD02
VA16-GO-NA
VSW10
VA06"
"VD09","VD02
VSK05
VP10
VSW03"
"VD10","VA19-GO-NA
VA01
VA02
VT08"
"VD11","VA01
VA05
VSK09
VD04"
"VD12","VP01
VP02
VT10
VSK09"
"VP01","VA15-SI-NA
VSK12
VA09
VSK09"
"VP02","VP03
VSK08
VSW08
VSK03"
"VP03","VD06
VD03
VSK04
VT12"
"VP04","VT01
VA18-GO-NA
VA11-GO-NA
VSK06"
"VP05","VSK08
VSK02
VSW03
VSK01"
"VP06","VA06
VA03
VSW06
VT09"
"VP07","VA20-SI-NA
VSK06
VSK02
VSW06"
"VP08","VSK03
VSW05
VSK04
VA03"
"VP09","VD03
VD05
VSW06
VP10"
"VP10","VSW09
VP01
VD07
VA22-SI-NA"
"VP11","VD02
VSK08
VA18-GO-NA
VA09"
"VP12","VSK09
VSK05
VA08
VD02"
"VSK01","VA01
VT10
VSK10
VD01"
"VSK02","VA22-SI-NA
VP08
VSW11
VP09"
"VSK03","VA03
VSK04
VD12
VSK03"
"VSK04","VSK02
VD01
VP09
VT02"
"VSK05","VD09
VSW04
VP02
VD09"
"VSK06","VSK08
VA14-SI-NA
VA01
VT07"
"VSK07","VP05
VT10
VA14-SI-NA
VP03"
"VSK08","VD02
VA10
VSK06
VD08"
"VSK09","VA07
VP11
VSK03
VT05"
"VSK10","VA03
VT06
VA17-SI-NA
VSW04"
"VSK11","VSW11
VSW03
VSK03
VD10"
"VSK12","VA20-SI-NA
VSW04
VA18-GO-NA
VSK08"
"VSW01","VA22-SI-NA
VA11-GO-NA
VSW09
VA12-SI-NA"
"VSW02","VP05
VA18-GO-NA
VP01
VSK10"
"VSW03","VT04
VA13-GO-NA
VSK05
VSK02"
"VSW04","VSW11
VD07
VA12-SI-NA
VT12"
"VSW05","VSK06
VD04
VA22-SI-NA
VA03"
"VSW06","VSK11
VT09
VP08
VSK06"
"VSW07","VD11
VA10
VA07
VT04"
"VSW08","VT03
VA16-GO-NA
VP08
VT02"
"VSW09","VA04
VP08
VP09
VA20-SI-NA"
"VSW10","VSK04
VSK05
VSK03
VSW01"
"VSW11","VA17-SI-NA
VSW01
VA06
VP10"
"VSW12","VA07
VA19-GO-NA
VD06
VA12-SI-NA"
"VT01","VD08
VT09
VP07
VSK10"
"VT02","VSW10
VD09
VA15-SI-NA
VD08"
"VT03","VT04
VA17-SI-NA
VSW07
VSK06"
"VT04","VA02
VD03
VT04
VSW11"
"VT05","VSW05
VA10
VA09
VA02"
"VT06","VSK12
VD01
VA18-GO-NA
VD07"
"VT07","VA01
VSK05
VT03
VA04"
"VT08","VT08
VD09
VA21-GO-NA
VP05"
"VT09","VA07
VSK05
VP09
VSW09"
"VT10","VSW09
VP02
VD08
VSK10"
"VT11","VSK02
VT07
VP06
VD10"
"VT12","VA19-GO-NA
VA02
VA18-GO-NA
VA04"
